file,original_group,item,reason
book/content/introduction/index.md,"ISO, 2004; Kenny, 2010; Parsons, 1993","ISO, 2004",no_bib_match
book/content/introduction/index.md,"ISO, 2004; Kenny, 2010; Parsons, 1993","Kenny, 2010",ambiguous_author_year
book/content/introduction/index.md,"ISO, 2004; Kenny, 2010; Parsons, 1993","Parsons, 1993",no_bib_match
book/content/introduction/index.md,"Havenith, 2001; Parsons, 1993","Parsons, 1993",no_bib_match
book/content/introduction/index.md,"Romanovsky, 2014; Taylor, 2014","Taylor, 2014",ambiguous_author_year
book/content/introduction/index.md,"Havenith, 2001; Zhang et al., 2010, 2004","Zhang et al., 2010, 2004",pattern_not_matched
book/content/introduction/index.md,"Boucsein, 2012; E. R. Nadel et al., 1971; Patterson et al., 1998; Stephenson et al., 1984","E. R. Nadel et al., 1971",pattern_not_matched
book/content/physiological-signals/blood-pressure.md,"Pickering T et al., 2005","Pickering T et al., 2005",pattern_not_matched
book/content/physiological-signals/blood-pressure.md,"Cameron et al., 2023; de Souza et al., 2024","de Souza et al., 2024",pattern_not_matched
book/content/physiological-signals/blood-pressure.md,"Montalescot et al., 2013","Montalescot et al., 2013",no_bib_match
book/content/physiological-signals/blood-pressure.md,"Rishi Vardhan et al., 2021","Rishi Vardhan et al., 2021",pattern_not_matched
book/content/physiological-signals/core-body-temperature.md,"Taylor, 2014","Taylor, 2014",ambiguous_author_year
book/content/physiological-signals/core-body-temperature.md,"ISO, 2004","ISO, 2004",no_bib_match
book/content/physiological-signals/core-body-temperature.md,"Kräuchi, 2002; Kräuchi and Wirz-Justice, 1994","Kräuchi, 2002",no_bib_match
book/content/physiological-signals/core-body-temperature.md,"Kräuchi, 2002; Kräuchi and Wirz-Justice, 1994","Kräuchi and Wirz-Justice, 1994",no_bib_match
book/content/physiological-signals/core-body-temperature.md,"Kelly, 2006; Kräuchi, 2002; Refinetti, 1992","Kräuchi, 2002",no_bib_match
book/content/physiological-signals/core-body-temperature.md,"Baker et al., 2020; Stachenfeld et al., 2000","Baker et al., 2020",ambiguous_author_year
book/content/physiological-signals/core-body-temperature.md,"Baker et al., 2020; Freedman and Blacker, 2002; Gombert-Labedens et al., 2025","Baker et al., 2020",ambiguous_author_year
book/content/physiological-signals/core-body-temperature.md,"Daanen et al., 2018; Taylor, 2014","Taylor, 2014",ambiguous_author_year
book/content/physiological-signals/core-body-temperature.md,"Baehr et al., 2000; Kerkhof and Van Dongen, 1996","Kerkhof and Van Dongen, 1996",pattern_not_matched
book/content/physiological-signals/core-body-temperature.md,"Dell'Osso et al., 2022","Dell'Osso et al., 2022",no_bib_match
book/content/physiological-signals/core-body-temperature.md,"Z. Wu et al., 2020","Z. Wu et al., 2020",pattern_not_matched
book/content/physiological-signals/core-body-temperature.md,"Byrne and Lim, 2007; Childs et al., 1999; Hunt et al., 2017; ISO, 2004","ISO, 2004",no_bib_match
